time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placement_reason,number_of_placements,denominator,perc_placements
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Education setting with UKPRN,Total,55,732,7.513661202
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Education setting with URN,Total,597,732,81.55737705
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,One on one tuition,Total,2,732,0.273224043
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Other unregistered provider,Total,78,732,10.6557377
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Total,Total,732,732,100
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Total,Mental health need,5,732,0.683060109
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Total,New arrival without a school place,1,732,0.136612021
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Total,Other including pregnancy/childcare,91,732,12.43169399
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Total,Permanent exclusion,1,732,0.136612021
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Total,Physical health need,8,732,1.092896174
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Total,Setting named on EHC plan,626,732,85.51912568
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,Education setting with URN,Total,187,226,82.74336283
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,One on one tuition,Total,14,226,6.194690265
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,Other unregistered provider,Total,25,226,11.0619469
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,Total,Total,226,226,100
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,Total,Mental health need,4,226,1.769911504
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,Total,New arrival without a school place,1,226,0.442477876
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,Total,Other including pregnancy/childcare,20,226,8.849557522
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,Total,Setting named on EHC plan,201,226,88.9380531
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Education setting with UKPRN,Total,101,875,11.54285714
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Education setting with URN,Total,659,875,75.31428571
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Non-maintained further education college,Total,1,875,0.114285714
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,One on one tuition,Total,46,875,5.257142857
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Other unregistered provider,Total,68,875,7.771428571
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Total,Total,875,875,100
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Total,Other including pregnancy/childcare,875,875,100
