time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placements
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Other unregistered provider,78
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Registered provider with UKPRN,55
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,One on one tuition,2
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Education setting with URN,597
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Total,732
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,One on one tuition,14
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,Education setting with URN,187
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,Other unregistered provider,25
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,Derby,E06000015,Total,226
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Education setting with URN,659
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Registered provider with UKPRN,101
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,One on one tuition,46
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Other unregistered provider,68
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Non-maintained further education college,1
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,Leicestershire,E10000018,Total,875
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,856,Leicester,E06000016,Other unregistered provider,1
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,856,Leicester,E06000016,One on one tuition,3
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,856,Leicester,E06000016,Education setting with URN,220
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,856,Leicester,E06000016,Total,224
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,857,Rutland,E06000017,One on one tuition,10
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,857,Rutland,E06000017,Registered provider with UKPRN,40
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,857,Rutland,E06000017,Education setting with URN,2
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,857,Rutland,E06000017,Other unregistered provider,1
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,857,Rutland,E06000017,Total,53
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Education setting with URN,420
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Non-maintained further education college,1
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,One on one tuition,336
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Other unregistered provider,660
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Total,1417
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,One on one tuition,24
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Registered provider with UKPRN,15
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Non-maintained further education college,24
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Other unregistered provider,3
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Education setting with URN,91
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Total,157
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Education setting with URN,480
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,One on one tuition,159
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Registered provider with UKPRN,14
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Total,653
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,One on one tuition,171
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Registered provider with UKPRN,6
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Non-maintained further education college,1
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Education setting with URN,450
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Other unregistered provider,31
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Total,659
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,West Northamptonshire,E06000062,Other unregistered provider,13
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,West Northamptonshire,E06000062,Education setting with URN,302
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,West Northamptonshire,E06000062,Total,315
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,821,Luton,E06000032,Non-maintained further education college,9
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,821,Luton,E06000032,One on one tuition,20
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,821,Luton,E06000032,Education setting with URN,41
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,821,Luton,E06000032,Total,70
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,Education setting with URN,28
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,Registered provider with UKPRN,88
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,Other unregistered provider,112
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,One on one tuition,15
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,Total,243
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Other unregistered provider,31
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,One on one tuition,2
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Education setting with URN,24
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Registered provider with UKPRN,153
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Work based placement,4
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Total,214
