time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,classtype,size,number_of_classes,number_of_pupils,average_class_size
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Infant (Reception plus KS1),1 to 30,220,5632,25.6
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Infant (Reception plus KS1),31 to 35,9,279,31
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Infant (Reception plus KS1),Total,229,5911,25.81222707
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,KS2,1 to 30,262,6513,24.85877863
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,KS2,31 to 35,29,918,31.65517241
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,KS2,36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,KS2,Total,291,7431,25.53608247
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Primary,1 to 30,536,13292,24.79850746
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Primary,31 to 35,41,1294,31.56097561
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Primary,36 plus,2,74,37
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Primary,Total,579,14660,25.31951641
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Secondary,1 to 30,492,8901,18.09146341
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Secondary,31 to 35,54,1703,31.53703704
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Secondary,36 plus,1,37,37
201516,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Secondary,Total,547,10641,19.45338208
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Infant (Reception plus KS1),1 to 30,271,7552,27.86715867
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Infant (Reception plus KS1),31 to 35,22,685,31.13636364
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Infant (Reception plus KS1),Total,293,8237,28.11262799
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,KS2,1 to 30,311,8136,26.1607717
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,KS2,31 to 35,33,1044,31.63636364
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,KS2,36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,KS2,Total,344,9180,26.68604651
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Primary,1 to 30,651,17140,26.32872504
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Primary,31 to 35,59,1856,31.45762712
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Primary,36 plus,3,112,37.33333333
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Primary,Total,713,19108,26.79943899
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Secondary,1 to 30,679,12486,18.38880707
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Secondary,31 to 35,47,1491,31.72340426
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Secondary,36 plus,4,233,58.25
201516,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Secondary,Total,730,14210,19.46575342
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Infant (Reception plus KS1),1 to 30,242,6547,27.05371901
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Infant (Reception plus KS1),31 to 35,5,155,31
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Infant (Reception plus KS1),Total,247,6702,27.13360324
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,KS2,1 to 30,250,6442,25.768
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,KS2,31 to 35,27,860,31.85185185
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,KS2,36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,KS2,Total,277,7302,26.36101083
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Primary,1 to 30,528,13747,26.03598485
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Primary,31 to 35,37,1180,31.89189189
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Primary,36 plus,3,128,42.66666667
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Primary,Total,568,15055,26.50528169
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Secondary,1 to 30,593,11413,19.24620573
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Secondary,31 to 35,22,691,31.40909091
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Secondary,36 plus,2,111,55.5
201516,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Secondary,Total,617,12215,19.79740681
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Infant (Reception plus KS1),1 to 30,171,4503,26.33333333
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Infant (Reception plus KS1),31 to 35,1,31,31
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Infant (Reception plus KS1),Total,172,4534,26.36046512
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,KS2,1 to 30,193,5063,26.23316062
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,KS2,31 to 35,21,662,31.52380952
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,KS2,36 plus,1,37,37
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,KS2,Total,215,5762,26.8
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,1 to 30,390,10060,25.79487179
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,31 to 35,24,762,31.75
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,36 plus,5,197,39.4
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,Total,419,11019,26.29832936
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,1 to 30,380,7296,19.2
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,31 to 35,13,409,31.46153846
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,36 plus,2,128,64
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,Total,395,7833,19.83037975
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Infant (Reception plus KS1),1 to 30,296,7726,26.10135135
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Infant (Reception plus KS1),31 to 35,16,499,31.1875
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Infant (Reception plus KS1),Total,312,8225,26.36217949
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,KS2,1 to 30,380,9676,25.46315789
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,KS2,31 to 35,40,1265,31.625
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,KS2,36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,KS2,Total,420,10941,26.05
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,1 to 30,748,18875,25.23395722
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,31 to 35,64,2025,31.640625
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,36 plus,3,146,48.66666667
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,Total,815,21046,25.82331288
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,1 to 30,727,13760,18.92709766
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,31 to 35,43,1366,31.76744186
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,Total,770,15126,19.64415584
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Infant (Reception plus KS1),1 to 30,108,2690,24.90740741
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Infant (Reception plus KS1),31 to 35,6,190,31.66666667
