time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (mental health need),Education setting with URN,1865
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (mental health need),Non-maintained further education college,45
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (mental health need),One on one tuition,1287
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (mental health need),Other unregistered provider,1498
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (mental health need),Registered provider with UKPRN,591
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (mental health need),Total,5381
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (mental health need),Work based placement,95
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (physical health need),Education setting with URN,331
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (physical health need),Non-maintained further education college,5
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (physical health need),One on one tuition,123
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (physical health need),Other unregistered provider,104
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (physical health need),Registered provider with UKPRN,62
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (physical health need),Total,627
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Medical condition (physical health need),Work based placement,2
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Off-site placement for behavioural support,Education setting with URN,6127
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Off-site placement for behavioural support,Non-maintained further education college,295
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Off-site placement for behavioural support,One on one tuition,1542
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,4588
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Off-site placement for behavioural support,Registered provider with UKPRN,1771
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Off-site placement for behavioural support,Total,14814
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Off-site placement for behavioural support,Work based placement,491
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Other,Education setting with URN,1936
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Other,Non-maintained further education college,74
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Other,One on one tuition,1074
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Other,Other unregistered provider,2292
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Other,Registered provider with UKPRN,904
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Other,Total,6575
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Other,Work based placement,295
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Permanent exclusion (where still going through the review process),Education setting with URN,108
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Permanent exclusion (where still going through the review process),One on one tuition,10
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Permanent exclusion (where still going through the review process),Other unregistered provider,282
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Permanent exclusion (where still going through the review process),Registered provider with UKPRN,14
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Permanent exclusion (where still going through the review process),Total,415
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Permanent exclusion (where still going through the review process),Work based placement,1
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Suspension,Education setting with URN,41
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Suspension,Non-maintained further education college,3
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Suspension,One on one tuition,5
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Suspension,Other unregistered provider,8
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Suspension,Registered provider with UKPRN,8
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Suspension,Total,68
202425,Academic year,National,E92000001,England,,,,,,Placement Reason,Suspension,Work based placement,3
202425,Academic year,National,E92000001,England,,,,,,Total,Total,Education setting with URN,10408
202425,Academic year,National,E92000001,England,,,,,,Total,Total,Non-maintained further education college,422
202425,Academic year,National,E92000001,England,,,,,,Total,Total,One on one tuition,4041
202425,Academic year,National,E92000001,England,,,,,,Total,Total,Other unregistered provider,8772
202425,Academic year,National,E92000001,England,,,,,,Total,Total,Registered provider with UKPRN,3350
202425,Academic year,National,E92000001,England,,,,,,Total,Total,Total,27880
202425,Academic year,National,E92000001,England,,,,,,Total,Total,Work based placement,887
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Medical condition (mental health need),Education setting with URN,138
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Medical condition (mental health need),Non-maintained further education college,6
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Medical condition (mental health need),One on one tuition,66
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Medical condition (mental health need),Other unregistered provider,107
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Medical condition (mental health need),Registered provider with UKPRN,31
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Medical condition (mental health need),Total,350
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Medical condition (mental health need),Work based placement,2
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Medical condition (physical health need),Education setting with URN,29
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Medical condition (physical health need),One on one tuition,5
