term,ngram,total_frequency,article_count
children,1,1025,97
send,1,876,87
support,1,776,99
school,1,625,89
schools,1,606,87
needs,1,591,90
education,1,518,100
system,1,492,92
special,1,330,81
plans,1,311,81
parents,1,298,77
child,1,267,68
need,1,262,99
families,1,238,72
young,1,232,73
every,1,216,77
educational,1,211,78
mainstream,1,198,56
ehcps,1,198,51
england,1,197,76
pupils,1,190,62
reforms,1,190,60
some,1,187,81
legal,1,178,49
specialist,1,174,57
educational needs,2,172,72
special educational,2,171,72
special educational needs,3,171,72
funding,1,169,63
changes,1,164,62
paper,1,164,62
provision,1,164,59
health,1,160,74
should,1,159,72
care,1,153,79
white,1,153,61
make,1,149,72
white paper,2,147,58
only,1,146,67
councils,1,144,42
into,1,141,82
ehcp,1,141,50
children send,2,139,51
right,1,138,67
because,1,136,65
help,1,136,64
like,1,132,65
council,1,131,43
work,1,128,65
plan,1,125,49
including,1,119,71
other,1,117,64
reform,1,117,52
students,1,116,32
staff,1,114,47
part,1,112,70
secretary,1,110,63
mainstream schools,2,110,51
number,1,109,56
send system,2,109,48
teachers,1,104,48
services,1,104,46
inclusive,1,104,45
training,1,103,38
change,1,102,51
told,1,100,50
across,1,99,56
additional,1,98,49
rights,1,97,36
inclusion,1,96,35
individual,1,94,46
added,1,93,55
authorities,1,93,47
home,1,93,44
disabilities,1,91,66
three,1,91,51
university,1,91,21
around,1,90,57
must,1,90,48
take,1,88,56
going,1,88,49
social,1,88,35
labour,1,88,34
your,1,86,40
provide,1,85,52
very,1,85,47
local authorities,2,85,44
phillipson,1,85,42
children young,2,85,41
costs,1,85,37
without,1,83,51
place,1,83,45
places,1,83,41
access,1,82,52
needs disabilities,2,81,64
better,1,81,47
secondary,1,81,43
spending,1,81,39
early,1,80,46
published,1,80,38
back,1,79,41
student,1,79,18
educational needs disabilities,3,78,61
already,1,78,53
able,1,78,45
money,1,78,37
police,1,78,18
education health,2,77,60
ensure,1,77,46
primary,1,77,41
life,1,77,40
investment,1,77,30
such,1,75,48
complex,1,75,42
support children,2,74,43
meet,1,73,49
proposals,1,73,37
health care,2,72,60
know,1,72,44
increase,1,72,38
further,1,71,52
then,1,71,46
want,1,71,42
education health care,3,70,58
clear,1,70,44
wales,1,70,21
government,1,70,12
department,1,69,48
currently,1,69,47
think,1,69,40
every child,2,69,32
down,1,68,48
education secretary,2,68,46
deliver,1,68,44
learning,1,68,33
independent,1,68,32
receive,1,67,36
report,1,67,26
within,1,66,45
future,1,66,44
given,1,66,43
policy,1,66,40
family,1,66,31
concerns,1,65,45
expected,1,64,43
speech,1,64,41
next,1,64,40
really,1,64,38
disabilities send,2,63,60
needs disabilities send,3,63,60
come,1,63,49
current,1,63,42
well,1,62,47
until,1,62,43
children special,2,62,41
much,1,62,39
cost,1,62,33
targeted,1,62,30
teaching,1,61,36
give,1,60,42
best,1,60,39
found,1,60,32
parent,1,60,28
transport,1,60,18
called,1,59,43
even,1,59,37
available,1,59,36
teacher,1,59,27
schools white,2,58,43
start,1,58,41
feel,1,58,37
often,1,58,35
working,1,57,46
schools white paper,3,57,42
since,1,57,40
secondary school,2,57,34
move,1,56,41
needed,1,56,37
here,1,56,36
overhaul,1,56,33
special needs,2,56,22
having,1,55,39
away,1,55,34
level,1,55,34
whether,1,54,37
full,1,54,34
language,1,54,34
service,1,54,25
five,1,53,42
same,1,53,36
group,1,53,33
another,1,53,32
complex needs,2,53,29
long,1,52,39
demand,1,52,37
improve,1,52,37
spokesperson,1,52,35
individual support,2,52,32
outcomes,1,52,31
million,1,52,30
department education,2,51,40
taking,1,51,39
against,1,51,31
mean,1,50,39
high,1,50,38
used,1,50,36
create,1,50,31
supporting,1,50,29
county,1,50,23
practice,1,50,22
among,1,49,37
making,1,49,35
might,1,49,35
tribunal,1,49,20
loans,1,49,7
care plans,2,48,42
face,1,48,36
however,1,48,35
both,1,48,34
setting,1,48,34
enough,1,48,31
issue,1,48,29
media,1,48,15
bridget,1,47,42
bridget phillipson,2,47,42
important,1,47,36
seen,1,47,36
budget,1,47,31
office,1,47,26
interest,1,47,12
women,1,47,8
health care plans,3,46,41
taken,1,46,37
keep,1,46,35
rising,1,46,34
offer,1,46,32
real,1,46,32
resources,1,46,29
review,1,46,25
committee,1,46,15
getting,1,45,37
instead,1,45,36
during,1,45,29
good,1,45,29
trust,1,45,28
charity,1,45,23
scotland,1,45,18
earlier,1,44,35
means,1,44,33
each,1,44,31
speech language,2,44,31
decade,1,44,30
experts,1,44,27
government plans,2,44,27
special school,2,44,25
february,1,44,23
support plans,2,43,29
months,1,43,28
send support,2,43,25
loan,1,43,6
uniform,1,43,3
alongside,1,42,33
children special educational,3,42,33
recent,1,42,33
different,1,42,32
head,1,42,31
saying,1,42,31
point,1,42,30
does,1,42,29
college,1,42,28
state,1,42,28
response,1,42,22
plans ehcps,2,41,37
sector,1,41,32
become,1,41,31
monday,1,41,29
rather,1,41,28
experience,1,41,27
person,1,41,26
sure,1,41,25
homes,1,41,7
care plans ehcps,3,40,37
asked,1,40,33
significant,1,40,32
process,1,40,28
something,1,40,26
general,1,40,25
standards,1,40,23
autism,1,40,22
london,1,40,16
social media,2,40,11
extra,1,39,31
increased,1,39,29
action,1,39,26
leaders,1,39,25
risk,1,39,25
primary school,2,39,24
cases,1,39,23
billion,1,39,17
things,1,38,30
less,1,38,28
september,1,38,28
consultation,1,38,24
documents,1,38,24
example,1,38,24
following,1,37,33
left,1,37,28
opportunity,1,37,28
look,1,37,26
together,1,37,26
evidence,1,37,25
thousands,1,37,25
welcome,1,37,23
colleges,1,37,22
