term,ngram,total_frequency,article_count
children,1,90,12
school,1,86,13
support,1,66,17
schools,1,66,8
students,1,61,9
send,1,55,8
young,1,54,11
some,1,53,21
university,1,47,9
education,1,46,14
england,1,45,12
needs,1,40,8
student,1,40,7
police,1,38,8
like,1,36,18
into,1,36,15
parents,1,35,11
plans,1,33,5
legal,1,32,11
home,1,31,10
make,1,30,16
pupils,1,30,8
brewdog,1,30,1
told,1,29,15
found,1,29,11
system,1,29,9
watt,1,29,1
against,1,28,15
three,1,28,13
added,1,27,17
during,1,27,10
your,1,27,10
loan,1,27,3
because,1,26,15
only,1,26,14
london,1,26,12
every,1,25,15
including,1,25,15
other,1,25,15
back,1,24,11
families,1,24,6
company,1,24,5
help,1,23,11
child,1,23,7
part,1,22,16
staff,1,22,9
evidence,1,22,7
loans,1,22,3
bethan,1,22,1
need,1,21,14
life,1,21,13
take,1,21,13
concerns,1,21,12
case,1,21,8
work,1,21,8
group,1,20,10
number,1,20,10
uniform,1,20,1
taken,1,19,12
safety,1,19,9
andrews,1,19,1
health,1,18,8
later,1,18,8
very,1,18,8
court,1,18,6
family,1,18,6
information,1,18,6
ireland,1,18,6
northern,1,18,6
northern ireland,2,18,6
former,1,17,14
across,1,17,13
should,1,17,13
such,1,17,9
place,1,17,8
right,1,17,8
special,1,17,7
plan,1,17,5
primary,1,17,5
amelia,1,17,1
change,1,16,12
down,1,16,12
well,1,16,10
death,1,16,8
something,1,16,8
claims,1,16,6
claim,1,16,5
graduates,1,16,4
ehcp,1,16,3
dunblane,1,16,2
beer,1,16,1
come,1,15,13
action,1,15,10
then,1,15,10
able,1,15,9
even,1,15,9
know,1,15,9
much,1,15,9
wanted,1,15,9
changes,1,15,8
didn,1,15,8
used,1,15,8
wales,1,15,8
paid,1,15,7
really,1,15,7
social,1,15,7
both,1,15,6
happened,1,15,4
universities,1,15,3
huntley,1,15,2
posts,1,15,2
however,1,14,10
september,1,14,10
described,1,14,9
months,1,14,9
person,1,14,9
seen,1,14,9
start,1,14,9
without,1,14,9
service,1,14,7
guidance,1,14,6
report,1,14,6
teacher,1,14,5
proposals,1,14,4
ehcps,1,14,3
repayments,1,14,3
adams,1,14,1
forsyth,1,14,1
script,1,14,1
follow,1,13,11
left,1,13,10
secretary,1,13,10
since,1,13,10
provide,1,13,9
access,1,13,8
scotland,1,13,8
individual,1,13,7
might,1,13,7
think,1,13,7
training,1,13,7
must,1,13,6
office,1,13,6
risk,1,13,6
covid,1,13,5
rights,1,13,5
town,1,13,5
daughter,1,13,4
interest,1,13,4
business,1,13,3
maintenance,1,13,2
mhra,1,13,1
among,1,12,12
each,1,12,11
already,1,12,10
further,1,12,10
given,1,12,10
head,1,12,10
full,1,12,9
small,1,12,9
anyone,1,12,8
care,1,12,8
department,1,12,8
going,1,12,8
despite,1,12,7
educational,1,12,7
money,1,12,7
policy,1,12,7
white,1,12,7
council,1,12,6
media,1,12,5
north,1,12,5
specialist,1,12,5
united,1,12,5
started,1,12,4
club,1,12,3
letters,1,12,3
mainstream,1,12,3
high,1,11,10
taking,1,11,10
adding,1,11,9
currently,1,11,9
ensure,1,11,9
issue,1,11,9
called,1,11,8
enough,1,11,8
face,1,11,8
having,1,11,8
making,1,11,8
aged,1,11,7
apply,1,11,7
delivered,1,11,7
figures,1,11,7
receive,1,11,7
until,1,11,7
body,1,11,6
complex,1,11,6
difficult,1,11,6
felt,1,11,6
financial,1,11,6
nothing,1,11,6
safe,1,11,6
went,1,11,6
amount,1,11,5
black,1,11,5
early,1,11,5
pandemic,1,11,5
private,1,11,5
lawyers,1,11,4
likely,1,11,4
reforms,1,11,4
secondary,1,11,4
injuries,1,11,3
suspected,1,11,3
drugs,1,11,2
football,1,11,2
chan,1,11,1
equity,1,11,1
gender,1,11,1
neet,1,11,1
robertson,1,11,1
around,1,10,9
brought,1,10,8
following,1,10,8
here,1,10,8
issued,1,10,8
long,1,10,8
look,1,10,8
world,1,10,8
away,1,10,7
force,1,10,7
funding,1,10,7
good,1,10,7
sector,1,10,7
